date,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
2013-09-23,76.440002,117.510002,85.029999,24.27,125.519997,59.409999,64.75,24.280001,165.25,75.910004,190.990005,23.620001,89.089996,51.459999,38.630001,97.279999,121.110001,47.68,32.740002,68.980003,28.799999,79.279999,34.220001,86.379997,71.82,109.419998,196.240005,47.98,76.419998,87.75
2013-09-24,76.07,119.0,85.110001,24.139999,124.489998,59.319997,64.32,24.32,162.970001,76.040001,189.970001,23.700001,88.220001,50.32,38.529999,97.779999,120.800003,47.529999,32.450001,69.43,28.709999,78.620003,34.09,85.870003,72.32,110.0,193.339996,47.27,75.75,87.360001
2013-09-25,75.989998,118.510002,84.5,24.43,124.07,59.319997,64.449997,24.23,162.309998,75.519997,189.470001,23.700001,87.080002,51.700001,38.330002,97.620003,120.199997,47.669998,32.509998,68.919998,28.49,77.720001,34.049999,85.980003,71.980003,109.260002,191.559998,46.950001,74.650002,87.139999
2013-09-26,76.32,119.379997,84.199997,23.77,123.489998,59.509996,65.239998,24.25,162.289993,76.07,190.220001,23.41,87.07,51.889999,38.740002,98.190002,120.660004,47.68,32.77,70.339996,28.52,78.050003,34.23,85.830002,72.160004,109.660004,193.559998,47.669998,74.620003,87.07
2013-09-27,75.889999,118.739998,83.800003,23.33,122.639999,59.009995,65.190002,24.049999,159.850006,75.959999,186.919998,22.98,86.730003,52.240002,38.400002,97.120003,120.220001,47.790001,33.27,73.639999,28.879999,77.209999,33.98,85.410004,71.989998,109.360001,193.050003,47.0,74.360001,86.900002
2013-09-30,75.519997,117.5,83.400002,23.43,121.5,58.56,64.489998,23.889999,158.210007,75.849998,185.179993,22.92,86.690002,51.689999,37.880001,96.209999,119.410004,47.610001,33.279999,72.639999,28.73,75.589996,33.82,84.769997,71.610001,107.82,191.100006,46.669998,73.959999,86.040001
2013-10-01,75.93,117.75,83.760002,23.24,121.32,58.689999,64.830002,24.17,159.0,76.260002,186.380005,22.83,87.470001,51.959999,37.950001,96.129997,119.620003,48.740002,33.580002,72.419998,28.889999,76.160004,34.060001,84.660004,72.580002,107.379997,193.220001,46.990002,73.589996,86.0
2013-10-02,74.580002,117.839996,84.07,23.32,120.830002,58.989999,64.879997,24.33,158.669998,76.32,184.960007,22.889999,87.290001,52.09,37.43,95.279999,119.199997,48.369999,33.919998,71.889999,29.01,75.93,33.939999,84.480003,72.57,104.980003,191.820007,46.790001,73.720001,86.080002
2013-10-03,74.019997,115.239998,83.970001,23.01,118.25,57.759995,64.019997,24.1,156.850006,75.879997,183.860001,22.6,86.580002,51.939999,37.16,94.669998,118.550003,48.360001,33.860001,71.639999,28.77,75.839996,33.639999,84.059998,72.519997,103.690002,188.649994,47.009998,73.160004,85.5
2013-10-04,74.309998,117.199997,84.199997,23.02,118.129997,58.649998,65.300003,24.049999,156.550003,75.779999,184.100006,22.809999,87.309998,52.669998,37.200001,94.699997,119.400002,48.23,33.880001,72.139999,29.0,76.019997,33.75,84.68,72.989998,104.269997,190.479996,47.099998,72.800003,86.32
